C11 C12 C13 C14 C15 C16 C22 C23 C24 C25 C26 C33 C34 C35 C36 C44 C45 C46 C55 C56 C66 w0 w1 w2 w3 w4 w5 w01 w02 w03 w11 w12 w13 w21 w22 w23 w31 w32 w33 Sharing nodes
1.333233 0.349607 0.349607 0.000000 -0.000000 0.000000 1.333233 0.349607 -0.000000 -0.000000 -0.000000 1.333233 -0.000000 0.000000 -0.000000 0.034212 0.000000 0.000000 0.034212 -0.000000 0.034212 0.500000 0.500000 0.500000 0.500000 0.500000 0.500000 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 v1 e2 v3
0.247105 -0.085937 -0.085937 0.000000 -0.000000 0.000000 0.247105 -0.085937 0.000000 0.000000 0.000000 0.247105 0.000000 -0.000000 0.000000 0.023335 0.000000 -0.000000 0.023335 -0.000000 0.023335 0.500000 0.500000 0.500000 0.500000 0.500000 0.500000 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 e2 f2
0.856211 -0.250169 -0.250169 -0.000000 -0.000000 -0.000000 0.856211 -0.250169 -0.000000 -0.000000 -0.000000 0.856211 -0.000000 0.000000 0.000000 0.005881 -0.000000 -0.000000 0.005881 -0.000000 0.005881 0.500000 0.500000 0.500000 0.500000 0.500000 0.500000 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 v2 e0 e3
0.102111 0.034219 0.034219 -0.000000 0.000000 -0.000000 0.102111 0.034219 0.000000 -0.000000 -0.000000 0.102111 0.000000 0.000000 -0.000000 0.132133 0.000000 0.000000 0.132133 -0.000000 0.132133 0.500000 0.500000 0.500000 0.500000 0.500000 0.500000 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 v2 f2 v3
0.063903 0.014243 0.014243 -0.000000 0.000000 -0.000000 0.063903 0.014243 0.000000 0.000000 0.000000 0.063903 -0.000000 0.000000 -0.000000 0.009368 0.000000 0.000000 0.009368 -0.000000 0.009368 0.500000 0.500000 0.500000 0.500000 0.500000 0.500000 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 e1 e2 e4
1.744508 0.872067 0.872067 -0.000000 0.000000 -0.000000 1.744508 0.872067 0.000000 -0.000000 0.000000 1.744508 -0.000000 0.000000 -0.000000 0.807411 0.000000 0.000000 0.807411 -0.000000 0.807411 0.500000 0.500000 0.500000 0.500000 0.500000 0.500000 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 e4 e1 e5
0.754892 -0.273690 -0.273690 -0.000000 -0.000000 0.000000 0.754892 -0.273690 0.000000 -0.000000 0.000000 0.754892 -0.000000 0.000000 0.000000 0.117644 -0.000000 0.000000 0.117644 -0.000000 0.117644 0.500000 0.500000 0.500000 0.500000 0.500000 0.500000 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 e1 e0 e2
0.544316 0.048398 0.048398 -0.000000 0.000000 -0.000000 0.544316 0.048398 -0.000000 0.000000 0.000000 0.544316 -0.000000 0.000000 -0.000000 0.018864 0.000000 -0.000000 0.018864 -0.000000 0.018864 0.500000 0.500000 0.500000 0.500000 0.500000 0.500000 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 e2 e4 f0
0.893870 0.428615 0.428615 -0.000000 -0.000000 -0.000000 0.893870 0.428615 -0.000000 -0.000000 -0.000000 0.893870 -0.000000 0.000000 0.000000 0.505772 0.000000 -0.000000 0.505772 -0.000000 0.505772 0.500000 0.500000 0.500000 0.500000 0.500000 0.500000 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 v1 e0 v3
0.142775 0.042123 0.042123 -0.000000 0.000000 0.000000 0.142775 0.042123 0.000000 -0.000000 -0.000000 0.142775 0.000000 0.000000 0.000000 0.005374 0.000000 0.000000 0.005374 0.000000 0.005374 0.500000 0.500000 0.500000 0.500000 0.500000 0.500000 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 v2 e1 e3
