C11 C12 C13 C14 C15 C16 C22 C23 C24 C25 C26 C33 C34 C35 C36 C44 C45 C46 C55 C56 C66 w5 w11 w12 w13 w21 w22 w23 w41 w42 w43
0.037446 0.000220 0.000220 0.000000 -0.000000 0.000000 0.319299 0.261226 -0.000000 -0.000000 -0.000000 0.319299 -0.000000 0.000000 0.000000 0.000862 -0.000000 -0.000000 0.075723 -0.000000 0.000862 0.333333 0.000000 0.000000 1.000000 0.666667 0.333333 0.000000 0.666667 0.333333 0.000000 
0.257543 0.238373 0.238373 -0.000000 -0.000000 0.000000 0.579145 0.574033 -0.000000 0.000000 -0.000000 0.579145 -0.000000 0.000000 0.000000 0.242940 -0.000000 -0.000000 0.547745 -0.000000 0.242940 1.000000 0.000000 0.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.333333 0.666667 
0.101914 0.210947 0.210947 0.000000 -0.000000 0.000000 0.928993 0.019654 0.000000 -0.000000 0.000000 0.928993 0.000000 0.000000 -0.000000 0.242241 0.000000 0.000000 0.001119 -0.000000 0.242241 0.000000 0.666667 0.333333 0.000000 0.000000 0.000000 1.000000 0.000000 0.333333 0.666667 
0.326313 0.040823 0.040823 -0.000000 -0.000000 -0.000000 0.069135 0.059557 -0.000000 -0.000000 0.000000 0.069135 0.000000 -0.000000 -0.000000 0.006543 -0.000000 -0.000000 0.020039 0.000000 0.006543 0.333333 1.000000 0.000000 0.000000 0.333333 0.666667 0.000000 0.000000 0.666667 0.333333 
0.525940 0.261362 0.261362 -0.000000 0.000000 -0.000000 0.263005 0.000904 -0.000000 -0.000000 0.000000 0.263005 -0.000000 -0.000000 -0.000000 0.250547 0.000000 0.000000 0.000359 0.000000 0.250547 1.000000 0.000000 1.000000 0.000000 0.000000 1.000000 0.000000 0.000000 1.000000 0.000000 
1.411714 0.407553 0.407553 -0.000000 -0.000000 -0.000000 0.329233 -0.006657 -0.000000 -0.000000 -0.000000 0.329233 -0.000000 0.000000 -0.000000 0.256103 0.000000 0.000000 0.001948 -0.000000 0.256103 0.000000 0.000000 0.333333 0.666667 0.000000 1.000000 0.000000 0.000000 1.000000 0.000000 
0.182576 0.048051 0.048051 -0.000000 -0.000000 -0.000000 0.644038 0.282751 -0.000000 0.000000 0.000000 0.644038 0.000000 0.000000 0.000000 0.323618 -0.000000 0.000000 0.266391 -0.000000 0.323618 0.333333 0.000000 1.000000 0.000000 1.000000 0.000000 0.000000 0.000000 0.000000 1.000000 
0.090361 0.016491 0.016491 0.000000 -0.000000 -0.000000 0.347810 0.009574 -0.000000 -0.000000 0.000000 0.347810 -0.000000 -0.000000 0.000000 0.024884 -0.000000 -0.000000 0.007535 -0.000000 0.024884 0.666667 0.333333 0.333333 0.333333 0.000000 1.000000 0.000000 1.000000 0.000000 0.000000 
0.094419 0.114475 0.114475 -0.000000 -0.000000 -0.000000 0.220512 0.108832 -0.000000 -0.000000 0.000000 0.220512 -0.000000 -0.000000 -0.000000 0.159149 -0.000000 -0.000000 0.007715 0.000000 0.159149 0.000000 0.333333 0.333333 0.333333 0.666667 0.333333 0.000000 0.666667 0.333333 0.000000 
0.262674 0.248713 0.248713 -0.000000 0.000000 -0.000000 0.527064 0.408793 0.000000 -0.000000 -0.000000 0.527064 -0.000000 -0.000000 0.000000 0.247841 0.000000 0.000000 0.270194 -0.000000 0.247841 1.000000 0.000000 0.000000 1.000000 0.333333 0.666667 0.000000 0.000000 0.333333 0.666667 
0.210883 0.232059 0.232059 -0.000000 0.000000 -0.000000 0.675042 0.254466 -0.000000 -0.000000 0.000000 0.675042 -0.000000 -0.000000 0.000000 0.005234 -0.000000 -0.000000 0.294492 -0.000000 0.005234 0.333333 0.666667 0.000000 0.333333 0.000000 0.666667 0.333333 0.000000 0.000000 1.000000 
1.856917 0.220909 0.220909 -0.000000 0.000000 -0.000000 0.409017 0.003224 -0.000000 0.000000 -0.000000 0.409017 -0.000000 -0.000000 -0.000000 0.239468 -0.000000 0.000000 0.000612 0.000000 0.239468 1.000000 1.000000 0.000000 0.000000 0.333333 0.666667 0.000000 0.000000 1.000000 0.000000 
0.290406 0.189897 0.189897 0.000000 0.000000 -0.000000 0.206233 0.094491 0.000000 -0.000000 -0.000000 0.206233 0.000000 -0.000000 -0.000000 0.164362 0.000000 -0.000000 0.028591 0.000000 0.164362 1.000000 0.333333 0.000000 0.666667 0.000000 1.000000 0.000000 0.000000 0.666667 0.333333 
0.427226 0.073528 0.073528 -0.000000 -0.000000 -0.000000 0.100439 0.059657 0.000000 0.000000 -0.000000 0.100439 0.000000 -0.000000 -0.000000 0.241512 0.000000 -0.000000 0.014052 0.000000 0.241512 0.666667 0.666667 0.000000 0.333333 1.000000 0.000000 0.000000 0.000000 1.000000 0.000000 
